loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,0, Graduate, Yes,5090927,15752548,2,599,12988768,5862538,4964361,9171941, Rejected
2,4, Graduate, No,924592,2701329,6,630,12069976,12043900,2855619,10337184, Approved
3,3, Not Graduate, No,7543287,6894052,2,613,11206597,3031197,12612834,11346915, Approved
4,2, Not Graduate, Yes,4552460,7510686,16,331,6310333,9296121,13367693,9932328, Rejected
5,2, Not Graduate, No,9403966,13745340,8,845,8026628,19047975,25122326,9225522, Approved
6,5, Not Graduate, Yes,2024932,4022704,8,528,2547527,12210394,6345135,2684303, Rejected
7,0, Graduate, Yes,5770449,22214912,14,851,21089104,1996434,11832765,10776589, Approved
8,4, Not Graduate, No,1355707,4753007,10,759,17068390,3907681,2654933,7158923, Approved
9,1, Not Graduate, Yes,4908466,8535619,14,718,27037960,1158115,3005412,2288335, Approved
10,0, Graduate, No,210017,524223,20,721,17682576,7798375,441338,7066759, Approved
11,3, Not Graduate, No,7476233,10580750,8,887,2239508,4608528,15445367,4757780, Approved
12,5, Graduate, Yes,6067399,10240487,18,482,17962518,19004428,14071416,2925025, Approved
13,4, Not Graduate, Yes,1141774,1150920,12,497,4999753,6193739,1019678,8249518, Approved
14,4, Not Graduate, Yes,5044888,14409919,8,702,981534,676471,10694676,13152760, Rejected
15,4, Graduate, No,4353657,12634950,20,439,19181715,8415771,8106931,243246, Rejected
16,4, Not Graduate, No,6734386,23457248,10,782,697790,14303888,15407790,1983245, Rejected
17,3, Graduate, Yes,5038598,18083355,4,317,11804751,13292302,12504037,13410769, Rejected
18,0, Not Graduate, No,4652076,6104407,6,838,25956635,18952229,7370145,10156287, Approved
19,5, Not Graduate, No,8261197,26251862,18,507,7352030,7094839,16622843,3520500, Rejected
20,2, Not Graduate, No,5234989,6444608,12,302,20139107,10144134,8822492,5427030, Rejected
21,3, Not Graduate, Yes,8097911,16162523,12,661,10860294,10851072,22645563,1300982, Approved
22,2, Graduate, Yes,8787806,21527638,14,465,3197530,467796,25390353,12400757, Rejected
23,1, Graduate, Yes,8428173,8076749,4,483,5633345,112741,11620968,9764478, Rejected
24,5, Graduate, Yes,9468801,12325006,2,588,2071930,15441853,12107167,3413079, Approved
